id,name,code,iata,sign,country,status
3394,Manx Airlines,,MNX,MANX,United Kingdom,1
3395,Maple Air Services,,MAD,MAPLE AIR,Canada,1
3396,March Helicopters,,MAR,MARCH,United Kingdom,1
3397,Marcopolo Airways,,MCP,MARCOPOLO,Afghanistan,1
3398,Marghi Air,,MGI,MARGHI,Nigeria,1
3399,Markair,,MRK,MARKAIR,United States,1
3400,Markoss Aviation,,MKO,GOSHAWK,United Kingdom,1
3401,Mars RK,6V,MRW,AVIAMARS,Ukraine,1
3402,Marshall Aerospace,,MCE,MARSHALL,United Kingdom,1
3403,Marsland Aviation,M7,MSL,MARSLANDAIR,Sudan,1
3404,Martin Aviation Services,,XMA,,United States,1
3405,Martin-Baker,,MBE,MARTIN,United Kingdom,1
3406,Martinair,MP,MPH,MARTINAIR,Netherlands,1
3407,Martinaire,,MRA,MARTEX,United States,1
3408,Martyn Fiddler Associates,,MFA,SEAHORSE,United Kingdom,1
3409,Marvin Limited,,MVN,MARVIN,United Kingdom,1
3410,Maryland State Police,,TRP,TROOPER,United States,1
3411,Massachusetts Institute of Technology,,MTH,RESEARCH,United States,1
3412,Massey University School of Aviation,,MSY,MASSEY,New Zealand,1
3413,Master Airways,,MSW,MASTER AIRWAYS,Serbia,1
3414,Master Planner,,MPL,,United States,1
3415,Masterjet,,LMJ,MASTERJET,Portugal,1
3417,Mauria,,MIA,MAURIA,Mauritania,1
3418,Mauritanienne Aerienne Et Navale,,MNV,NAVALE,Mauritania,1
3419,Mauritanienne Air Fret,,MRF,MAUR-FRET,Mauritania,1
3420,Mauritanienne Airways,,MWY,MAURITANIENNE,Mauritania,1
3421,Mauritanienne De Transport Aerien,,MDE,MAURI-TRANS,Mauritania,1
3422,Maverick Airways,,MVR,MAV-AIR,United States,1
3423,Mavial Magadan Airlines,H5,MVL,Mavial,Russia,1
3424,Max Avia,,MAI,MAX AVIA,Kyrgyzstan,1
3425,Max Sea Food,,MSF,MAXESA,El Salvador,1
3426,Max-Aviation,,MAX,MAX AVIATION,Canada,1
3427,Maxair,8M,MXL,MAXAIR,Sweden,1
3428,Maximus Air Cargo,,MXU,CARGO MAX,United Arab Emirates,1
3429,Maxjet Airways,MY,MXJ,MAX-JET,United States,1
3430,Maxsus-Avia,,MXS,MAXSUS-AVIA,Uzbekistan,1
3431,May Air Xpress,,MXP,BEECHNUT,United States,1
3432,Maya Island Air,MW,MYD,MYLAND,Belize,1
3433,Mayair,,MYI,MAYAIR,Mexico,1
3434,Mbach Air,,MBS,MBACHI AIR,Malawi,1
3435,McAlpine Helicopters,,MCH,MACLINE,United Kingdom,1
3436,McCall Aviation,,MKL,MCCALL,United States,1
3437,McDonnell Douglas,,DAC,DACO,United States,1
3438,McNeely Charter Services,,MDS,MID-SOUTH,United States,1
3439,Med-Trans of Florida,,MEK,MED-TRANS,United States,1
3440,Medavia Company,,MDM,MEDAVIA,Malta,1
3441,Medical Air Rescue Services,,MRZ,MARS,Zimbabwe,1
3442,Medical Aviation Services,,MCL,MEDIC,United Kingdom,1
3443,Mediterranean Air Freight,,MDF,MED-FREIGHT,Greece,1
3444,Mediterranean Airways,,MDY,,Egypt,1
3445,Medjet International,,MEJ,MEDJET,United States,1
3446,Mega,,MGK,MEGLA,Kazakhstan,1
3447,Mega Linhas Aereas,,MEL,MEGA AIR,Brazil,1
3448,Mekong Airlines,,MKN,MEKONG AIRLINES,Cambodia,1
3449,Menajet,IM,MNJ,MENAJET,Lebanon,1
3450,Merchant Express Aviation,,MXX,MERCHANT,Nigeria,1
3451,Mercury Aircourier Service,,MEC,MERCAIR,United States,1
3452,Meridian,,POV,AIR POLTAVA,Ukraine,1
3453,Meridian Air Cargo,,MRD,MERIDIAN,United States,1
3454,Meridian Airlines,,MHL,HASSIMAIR,Nigeria,1
3455,Meridian Aviation,,DSL,DIESEL,United Kingdom,1
3456,Meridian Limited,,MEM,MERIDIAN CHERRY,Ukraine,1
3457,Meridiana,IG,ISS,MERAIR,Italy,1
3458,Merlin Airways,,MEI,AVALON,United States,1
