id,name,code,iata,sign,country,status
1720,Challenge Air Transport,,CLS,AIRISTO,Germany,1
1721,Challenge Aviation,,CHS,CHALLENGE AVIATION,Australia,1
1722,Challenge International Airlines,,OFF,CHALLENGE AIR,United States,1
1723,AC Challenge Aero,,CHG,SKY CHALLENGER,Ukraine,1
1724,Champagne Airlines,,CPH,CHAMPAGNE,France,1
1725,Champion Air,MG,CCP,CHAMPION AIR,United States,1
1726,Chanchangi Airlines,,NCH,CHANCHANGI,Nigeria,1
1727,Changan Airlines,2Z,CGN,CHANGAN,China,1
1728,Channel Island Aviation,,CHN,CHANNEL,United States,1
1729,Chantilly Air,,WML,MARLIN,United States,1
1730,Chaparral Airlines,,CPL,CHAPARRAL,United States,1
1731,Chari Aviation Services,S8,CSU,CHARI SERVICE,Chad,1
1732,Charlan Air Charter,,CAH,CHARLAN,South Africa,1
1733,Charlie Hammonds Flying Service,,HMD,HAMMOND,United States,1
1734,Charlotte Air National Guard,,CGD,,United States,1
1735,Charter Air,,CHW,CHARTER WIEN,Austria,1
1736,Chartright Air,,HRT,CHARTRIGHT,Canada,1
1737,Chautauqua Airlines,RP,CHQ,CHAUTAUQUA,United States,1
1738,Cheboksary Airenterprise JSC,,CBB,CHEBAIR,Russia,1
1739,Chemech Aviation,,CHM,,Pakistan,1
1740,Cherline,,CHZ,CHERL,Russia,1
1741,Chernomor-Avia,,CMK,CHERAVIA,Russia,1
1742,Cherokee Express,,CBM,BLUE MAX,United States,1
1743,Cherry Air,,CCY,CHERRY,United States,1
1744,Chesapeake Air Service,,CAB,CHESAPEAKE AIR,United States,1
1745,Chevron U.S.A,,CVR,CHEVRON,United States,1
1746,Cheyenne Airways,,CYA,CHEYENNE AIR,United States,1
1747,Chicago Air,,CGO,WILD ONION,United States,1
1748,Chicago Express,C8,WDY,WINDY CITY,United States,1
1749,Chief Rat Flight Services,,RAT,RIVERRAT,South Africa,1
1750,Chilchota Taxi Aereo,,CCH,CHILCHOTA,Mexico,1
1751,Chilcotin Caribou Aviation,,DES,CHILCOTIN,Canada,1
1752,Chilliwack Aviation,,CAD,CHILLIWACKAIR,Canada,1
1753,Chim-Nir Aviation,,ETN,CHMINIR,Israel,1
1754,China Airlines,CI,CAL,DYNASTY,Taiwan,1
1755,China Cargo Airlines,CK,CKK,CARGO KING,China,1
1756,China Eastern Airlines,MU,CES,CHINA EASTERN,China,1
1757,China Express Airlines,,HXA,CHINA EXPRESS,China,1
1758,China Flying Dragon Aviation,,CFA,FEILONG,China,1
1759,China General Aviation Corporation,,CTH,TONGHANG,China,1
1760,China National Aviation Corporation,,CAG,CHINA NATIONAL,China,1
1761,China Northern Airlines,CJ,CBF,CHINA NORTHERN,China,1
1762,China Northwest Airlines,WH,CNW,CHINA NORTHWEST,China,1
1763,China Ocean Helicopter Corporation,,CHC,CHINA HELICOPTER,China,1
1764,China Postal Airlines,8Y,CYZ,CHINA POST,China,1
1765,China Southern Airlines,CZ,CSN,CHINA SOUTHERN,China,1
1766,China Southwest Airlines,,CXN,CHINA SOUTHWEST,China,1
1767,China United Airlines,HR,CUA,LIANHANG,China,1
1768,China Xinhua Airlines,XO,CXH,XINHUA,China,1
1769,Yunnan Airlines,3Q,CYH,YUNNAN,China,1
1770,Chinguetti Airlines,,CGU,CHINGUETTI,Mauritania,1
1771,Chipola Aviation,,CEP,CHIPOLA,United States,1
1772,Chippewa Air Commuter,,CPW,CHIPPEWA-AIR,United States,1
1773,Chitaavia,X7,CHF,CHITA,Russia,1
1774,Christman Air System,,CAS,CHRISTMAN,United States,1
1775,Christophorus Flugrettungsverein,,OEC,CHRISTOPHORUS,Austria,1
1776,Chrome Air Services,,CHO,CHROME AIR,United States,1
1777,Church Aircraft,,CHU,CHURCHAIR,United States,1
1778,Cielos Airlines,A2,CIU,CIELOS,Peru,1
1779,Cimber Air,QI,CIM,CIMBER,Denmark,1
1780,Cirrus,,RRU,HELICIRRUS,Chile,1
1781,Cirrus Air,,NTS,NITE STAR,United States,1
1782,Cirrus Airlines,C9,RUS,CIRRUS AIR,Germany,1
1783,Cirrus Middle East,,JTI,,Lebanon,1
1784,Citationshares,,FIV,FIVE STAR,United States,1
1785,Citibank,,XCX,,United States,1
1786,Citic General Aviation,,HZX,ZHONGXIN,China,1
1787,City Airline,CF,SDR,SWEDESTAR,Sweden,1
1788,City Connexion Airlines,G3,CIX,CONNEXION,Burundi,1
1789,City of Bangor,,XBG,,United States,1
1790,CityJet,WX,BCY,CITY-IRELAND,Ireland,1
1791,Cityair (Chester) Limited,,CAQ,AIR CHESTER,United Kingdom,1
1792,Cityfly,,CII,CITYFLY,Italy,1
1793,BA CityFlyer,CJ,CFE,FLYER,United Kingdom,1
1794,Cityline Hungary,,CNB,CITYHUN,Hungary,1
1795,Citylink Airlines,,HSR,HOOSIER,United States,1
1796,Civair Airways,,CIW,CIVFLIGHT,South Africa,1
1797,Civil Air Patrol South Carolina Wing,,BKR,BOX KAR,United States,1
1798,Civil Air Transport,CT,CAT,Mandarin,Taiwan,1
1799,Civil Aviation Authority,,CIA,CALIMERA,Slovakia,1
1800,Civil Aviation Authority of New Zealand,,CIV,CIVAIR,New Zealand,1
1801,Civil Aviation Inspectorate of the Czech Republic,,CBA,CALIBRA,Czech Republic,1
1802,Claessens International Limited,,FMC,CLAESSENS,United Kingdom,1
1803,Clark Aviation,,CLK,CLARKAIR,United States,1
1804,Clasair,,CSF,CALEDONIAN,United Kingdom,1
1805,Clay Lacy Aviation,,CLY,CLAY-LACY,United States,1
1806,Click Airways,,CGK,CLICK AIR,Kyrgyzstan,1
1807,Cloud 9 Air Charters,,CLZ,CLOUDLINE,South Africa,1
1808,Clowes Estates Limited,,CLD,CLOWES,United Kingdom,1
1809,Club 328,,SDJ,SPACEJET,United Kingdom,1
1810,Club Air,6P,ISG,CLUBAIR,Italy,1
1811,Coast Air,BX,CST,COAST CENTER,Norway,1
1813,Coastal Air Transport,,TCL,TRANS COASTAL,United States,1
1814,Coastal Airways,,CNG,SID-AIR,United States,1
1815,Coastal Travels,,CSV,COASTAL TRAVEL,Tanzania,1
1816,Cohlmia Aviation,,CHL,COHLMIA,United States,1
1817,Colaereos,,OLR,COLAEREOS,Ecuador,1
1818,Colemill Enterprises,,CLE,COLEMILL,United States,1
1819,Colgan Air,9L,CJC,COLGAN,United States,1
1820,Colibri Aviation,,CAE,HUMMINGBIRD,Canada,1
1821,Colt International,,CCX,,United States,1
1822,Columbia Airlines,,COL,COLAIR,Canada,1
1823,Columbia Helicopters,,WCO,COLUMBIA HELI,United States,1
1824,Columbus Air Transport,,KLR,KAY-LER,United States,1
1825,Colvin Aviation,,GHP,GRASSHOPPER EX,United States,1
1826,Comair,OH,COM,COMAIR,United States,1
1827,Comair,MN,CAW,COMMERCIAL,South Africa,1
1828,Comed Group,,CDE,COMEX,United Kingdom,1
1829,Comeravia,,CVV,COMERAVIA,Venezuela,1
1830,Comercial Aerea,,CRS,COMERCIAL AEREA,Mexico,1
1831,Comet Airlines,,CMG,SUNSPY,Nigeria,1
1832,Comfort Air,,FYN,FLYNN,Germany,1
1833,Comlux Aviation,,CLA,COMLUX,Switzerland,1
1834,Commair Aviation,,CMH,COMMODORE,United Kingdom,1
1835,Commandement Du Transport Aerien Militaire Francais,,CTM,COTAM,France,1
1836,Commander Air Charter,,CML,COMMANDAIR,Canada,1
1837,Commander Mexicana,,CRM,COMMANDERMEX,Mexico,1
1838,Commercial Aviation,,CMS,ACCESS,Canada,1
1839,Commodore Aviation,,GAR,,Australia,1
1840,Commonwealth Jet Service,,CJS,COMMONWEALTH,United States,1
1841,CommutAir,C5,UCA,COMMUTAIR,United States,1
1842,Comores Airlines,KR,CWK,CONTICOM,Comoros,1
1843,Compagnia Generale Ripreseaeree,,CGR,COMPRIP,Italy,1
1844,Compagnie Aerienne du Mali,,CMM,CAMALI,Mali,1
1845,Compagnie Mauritanienne Des Transports,,CPM,,Mauritania,1
1846,Compagnie de Bauxites de Guinee,,GIC,CEBEGE,Guinea,1
1847,Compania Aerea de Valencia,,AIF,,Spain,1
1848,Compania Aerotecnicas Fotograficas,,ATF,AEROTECNICAS,Spain,1
1849,Compania Boliviana de Transporte Aereo Privado Aerosur,,ASU,S.A.,ASUR,1
1850,Compania De Actividades Y Servicios De Aviacion,,LCT,STELLAIR,Spain,1
1851,Compania Ejecutiva,,EJV,EJECUTIVA,Mexico,1
1852,Compania Helicopteros Del Sureste,,HSE,HELISURESTE,Spain,1
1853,Compania Mexicana De Aeroplanos,,MDR,AEROPLANOS,Mexico,1
1854,Compania Mexicargo,GJ,MXC,MEXICARGO,Mexico,1
1855,Compania Transportes Aereos Del Sur,,HSS,TAS HELICOPTEROS,Spain,1
1856,Compania de Servicios Aereos Tavisa,,TAV,TAVISA,Spain,1
1857,Company Flight,,CYF,COMPANY FLIGHT,Denmark,1
1858,Compass Airlines,CP,CPZ,Compass Rose,United States,1
1859,Compass International Airways,,CPS,COMPASS,United Kingdom,1
1860,Compuflight Operations Service,,XCO,,United States,1
1861,Compuserve Incorporated,,XCS,,United States,1
1862,Conair Aviation,,CRC,CONAIR-CANADA,Canada,1
1863,Concordavia,,COD,CONCORDAVIA,Ukraine,1
1864,Condor Aero Services,,CNR,CONAERO,United States,1
1865,Condor,,CIB,CONDOR BERLIN,Germany,1
1866,Condor Flugdienst,DE,CFG,CONDOR,Germany,1
1867,Confort Air,,COF,CONFORT,Canada,1
1868,Congo Air,,CAK,,Bahamas,1
1869,Congressional Air,,CGA,CONGRESSIONAL,United States,1
1870,Conifair Aviation,,ROY,,Canada,1
1871,Connectair Charters,,BSN,BASTION,Canada,1
1872,Conquest Airlines,,CAC,CONQUEST AIR,United States,1
1873,Conroe Aviation Services,,CXO,CONROE AIR,United States,1
1874,Consorcio Aviaxsa,6A,CHP,AVIACSA,Mexico,1
1875,Consorcio Helitec,,VCH,CONSORCIO HELITEC,Venezuela,1
1876,Constanta Airline,,UZA,CONSTANTA,Ukraine,1
1877,Contact Air,C3,KIS,CONTACTAIR,Germany,1
1878,Contel ASC,,XCL,,United States,1
1879,Continental Airlines,CO,COA,CONTINENTAL,United States,1
1880,Continental Airways,PC,PVV,CONTAIR,Russia,1
1882,Continental Micronesia,CS,CMI,AIR MIKE,United States,1
1883,Continental Oil,,CON,CONOCO,United States,1
1884,Conviasa,V0,VCV,CONVIASA,Venezuela,1
1885,Cook Inlet Aviation,,CKA,COOK-AIR,United States,1
1886,Cooper Aerial Surveys,,SVY,SURVEYOR,United Kingdom,1
1887,Copa Airlines,CM,CMP,COPA,Panama,1
1888,Copenhagen Airtaxi,,CAT,AIRCAT,Denmark,1
1889,Copper State Air Service,,COP,COPPER STATE,United States,1
1890,Copterline,,AAQ,COPTERLINE,Finland,1
1891,Coptrade Air Transport,,CCW,COPTRADE AIR,Sudan,1
1892,Corendon Airlines,,CAI,CORENDON,Turkey,1
1893,Coronado Aerolineas,,CRA,CORAL,Colombia,1
1894,Corpac Canada,,CPB,PENTA,Canada,1
1895,Corporacion Aereo Cencor,,CNC,CENCOR,Mexico,1
1896,Corporacion Aeroangeles,,CPG,CORPORANG,Mexico,1
1897,Corporacion Paraguaya De Aeronautica,,CGY,,Paraguay,1
1898,Corporate Air,,CPT,AIR SPUR,United States,1
1899,Corporate Air,,CPR,CORPAIR,United States,1
1900,Corporate Aircraft Company,,CPO,MOKAN,United States,1
1901,Corporate Airlink,,COO,CORPORATE,Canada,1
1902,Corporate Aviation Services,,CKE,CHECKMATE,United States,1
1903,Corporate Flight International,,VHT,VEGAS HEAT,United States,1
1904,Corporate Flight Management,,VTE,VOLUNTEER,United States,1
1905,Corporate Jets,,CJI,SEA JET,United States,1
1906,Corsairfly,SS,CRL,CORSAIR,France,1
1907,Corse-Mediterranee,XK,CCM,CORSICA,France,1
1908,Cosmic Air,F5,COZ,COSMIC AIR,Nepal,1
1909,Cougar Helicopters,,CHI,COUGAR,Canada,1
1910,Coulson Flying Service,,MGB,MOCKINGBIRD,United Kingdom,1
1911,Country Connection Airlines,,NSW,,Australia,1
1912,Country International Airlines,,CIK,COUNTRY AIR,Kyrgyzstan,1
1913,Courier Services,,CSD,DELIVERY,United States,1
1914,Court Helicopters,,CUT,COURT AIR,South Africa,1
1915,Coval Air,,CVL,COVAL,Canada,1
1916,Cowi,,COW,COWI,Netherlands,1
1917,Coyne Aviation,,COY,COYNE AIR,United Kingdom,1
1918,Cranfield University,,CFD,AERONAUT,United Kingdom,1
1919,Cree Airways,,CRE,CREE AIR,Canada,1
1920,Crelam,,ELM,CRELAM,Mexico,1
1921,Crest Aviation,,CAN,CREST,United Kingdom,1
1922,Crimea Universal Avia,,KRM,TRANS UNIVERSAL,Ukraine,1
1923,Croatia Airlines,OU,CTN,CROATIA,Croatia,1
1924,Croatian Air Force,,HRZ,CROATIAN AIRFORCE,Croatia,1
1925,Cross Aviation,,CRX,CROSSAIR,United Kingdom,1
1926,Crossair Europe,QE,ECC,Cigogne,Switzerland,1
1927,Crow Executive Air,,CWX,CROW EXPRESS,United States,1
1928,Crown Air Systems,,CKR,CROWN AIR,United States,1
1929,Crown Airways,,CRO,CROWN AIRWAYS,United States,1
1930,Crownair,,CRW,REGAL,Canada,1
1931,Cruiser Linhas Aereas,,VCR,VOE CRUISER,Brazil,1
1932,Cryderman Air Service,,CTY,CENTURY,United States,1
1933,Crystal Shamrock,,CYT,CRYSTAL-AIR,United States,1
1934,Cubana de Aviación,CU,CUB,CUBANA,Cuba,1
1935,Cumberland Airways (Nicholson Air Service),,CBL,CUMBERLAND,United States,1
1936,Custom Air Transport,,CTT,CATT,United States,1
1937,Cygnus Air,,RGN,CYGNUS AIR,Spain,1
1938,Cyprair Tours,,CYC,CYPRAIR,Cyprus,1
1939,Cypress Airlines,,CYS,SKYBIRD,Canada,1
1940,Cyprus Airways,CY,CYP,CYPRUS,Cyprus,1
1942,Czech Air Force,,CEF,CZECH AIR FORCE,Czech Republic,1
1943,Czech Air Handling,,AHD,AIRHANDLING,Czech Republic,1
1944,Czech Airlines,OK,CSA,CSA-LINES,Czech Republic,1
1945,Czech Government Flying Service,,CIE,CZECHIA,Czech Republic,1
1946,D & D Aviation,,DDA,DUSTY,United States,1
1947,D&K Aviation,,DNK,DIRECT JET,United States,1
1948,DAP Helicopteros,,DHE,HELIDAP,Chile,1
1949,DFS UK Limited,,VLF,VOLANTE,United Kingdom,1
1950,DAS Air Cargo,WD,DSR,DAIRAIR,Uganda,1
1951,DAS Airlines,,RKC,DAS CONGO,Democratic Republic of the Congo,1
1952,DAT Danish Air Transport,DX,DTR,DANISH,Denmark,1
1953,DAT Enterprise Limited,,ENT,DATENT,United Kingdom,1
1954,DERA Boscombe Down,,BDN,GAUNTLET,United Kingdom,1
1955,DESNA,,DSN,DESNA,Ukraine,1
1956,DETA Air,,DET,SAMAL,Kazakhstan,1
1957,DGO Jet,,DGO,DGO JET,Mexico,1
1958,DHL Aero Expreso,,DAE,YELLOW,Panama,1
1959,DHL Air,,DHK,WORLD EXPRESS,United Kingdom,1
1960,DHL Aviation,,DHV,WORLDSTAR,South Africa,1
1961,DHL International,ES,DHX,DILMUN,Bahrain,1
1962,DHL de Guatemala,L3,JOS,,Guatemala,1
1963,DSWA,,RSK,REDSKIN,United States,1
1964,Daallo Airlines,D3,DAO,DALO AIRLINES,Djibouti,1
1965,Dagestan Airlines,N2,DAG,DAGAL,Russia,1
1966,Dahla Airlines,,DHA,,Democratic Republic of Congo,1
1967,Daimler Chrysler Aviation,,DCS,TWIN STAR,Germany,1
1968,Daimler-Chrysler,,DCX,DAIMLER,United States,1
1969,Daka,,DKA,,Kazakhstan,1
1970,Dala Air Services,,DLR,DALA AIR,Nigeria,1
1971,Dalavia,H8,KHB,DALAVIA,Russia,1
1972,Dallas Express Airlines,,DXP,DALLAS EXPRESS,United States,1
1973,Damascene Airways,,DAS,AIRDAM,Syrian Arab Republic,1
1974,Danbury Airways,,DSA,DANBURY AIRWAYS,United States,1
1975,Dancopter,,DOP,DANCOPTER,Denmark,1
1976,Danish Air Force,,DAF,DANISH AIRFORCE,Denmark,1
1977,Danish Army,,DAR,DANISH ARMY,Denmark,1
1978,Danish Navy,,DNY,DANISH NAVY,Denmark,1
1979,Danu Oro Transportas,,DNU,DANU,Lithuania,1
1980,Darta,,DRT,DARTA,France,1
1981,Darwin Airline,0D,DWT,DARWIN,Switzerland,1
1982,Dasab Airlines,,DSQ,DASAB AIR,Uganda,1
1983,Dash Air Charter,,DSH,DASH CHARTER,United States,1
1984,Dash Aviation,,GOB,PILGRIM,United Kingdom,1
1985,Dasnair,,DGX,DASNA,Switzerland,1
1986,Dassault Aviation,,DAB,,France,1
1987,Dassault Falcon Jet Corporation,,CVF,CLOVERLEAF,United States,1
1988,Dassault Falcon Service,,DSO,DASSAULT,France,1
1989,Data International,,DTN,DATA AIR,Sudan,1
1990,Date Transformation Corp,,XDT,,United States,1
1991,Dauair,D5,DAU,DAUAIR,Germany,1
1992,David Crawshaw Consultants Limited,,DCO,,United Kingdom,1
1993,Dawn Air,,DWN,DAWN AIR,United States,1
1994,DayJet,,DJS,DAYJET,United States,1
1995,Daya Aviation,,DAY,DAYA,Sri Lanka,1
1996,De Havilland,,DHC,DEHAVILLAND,Canada,1
1997,Deadalos Flugtbetriebs,,IAY,IASON,Austria,1
1998,Decatur Aviation,,DAA,DECUR,United States,1
1999,Deccan Aviation,,DKN,DECCAN,India,1
2000,Deccan Aviation (Lanka),,DLK,DEKKANLANKA,Sri Lanka,1
2001,Deer Jet,,DER,DEER JET,China,1
2002,Deere and Company,,JDC,JOHN DEERE,United States,1
2003,Delaware Skyways,,DWR,DELAWARE,United States,1
2004,Delta Aerotaxi,,DEA,JET SERVICE,Italy,1
2005,Delta Air Charter,,SNO,SNOWBALL,Canada,1
2006,Delta Air Elite,,ELJ,ELITE JET,United States,1
2007,Delta Air Lines,DL,DAL,DELTA,United States,1
2008,Delta Engineering Aviation,,KMB,KEMBLEJET,United Kingdom,1
2009,Delta Express International,,DLI,DELTA EXPRESS,Ukraine,1
2010,Delta State University,,DSU,DELTA STATE,United States,1
2011,Denim Air,,DNM,DENIM,Netherlands,1
2012,Denver Express,,FEC,FALCON EXPRESS,United States,1
2013,Denver Jet,,DJT,DENVER JET,United States,1
2014,Departmento De Agricultura De La Generalitat De Cataluna,,FGC,FORESTALES,Spain,1
2015,Deraya Air Taxi,,DRY,DERAYA,Indonesia,1
2016,Des R Cargo Express,,DRX,,Mauritania,1
2017,Desarrollo Milaz,,MIZ,MILAZ,Mexico,1
2018,Destiny Air Services,,DTY,DESTINY,Sierra Leone,1
2020,Deutsche Rettungsflugwacht,1I,AMB,CIVIL AIR AMBULANCE,Germany,1
2021,Deutsches Zentrum fur Luft-und Raumfahrt EV,,LFO,LUFO,Germany,1
2022,Di Air,,DIS,DI AIR,Serbia,1
2023,Diamond Aviation,,SPK,SPARKLE,United States,1
2024,Didier Rousset Buy,,DRB,DIDIER,Chile,1
2025,Digital Equipment Corporation,,DGT,DIGITAL,United States,1
2026,Dinar,D7,RDN,AERO DINAR,Argentina,1
2027,Diplomatic Freight Services,,DIP,DIPFREIGHT,United Kingdom,1
2028,Direccion General de Aviacion Civil y Telecomunicasciones,,ENA,ENA,Spain,1
2029,Direct Air,,DIA,BLUE SKY,United States,1
2030,Direct Air trading as Midway Connection,,XAP,MID-TOWN,United States,1
2031,Direct Flight,,DCT,,United Kingdom,1
2032,Sky Express,,SXP,EXPRESS SKY,Poland,1
2033,Dirgantara Air Service,AW,DIR,DIRGANTARA,Indonesia,1
2034,Discover Air,,DCV,DISCOVER,United States,1
2035,Discovery Airways,DH,DVA,DISCOVERY AIRWAYS,United States,1
2036,Dispatch Services,,XDS,,United States,1
2037,Dix Aviation,,DIX,DIX FLIGHT,Germany,1
2038,Dixie Airways,,DEE,TACAIR,United States,1
2039,Djibouti Airlines,D8,DJB,DJIBOUTI AIR,Djibouti,1
2040,Dniproavia,,UDN,DNIEPRO,Ukraine,1
2041,Flying Dolphin Airlines,,FDN,FLYING DOLPHIN,United Arab Emirates,1
2042,Dolphin Express Airlines,,IXX,ISLAND EXPRESS,United States,1
2043,Dome Petroleum,,DPL,DOME,Canada,1
2044,Dominguez Toledo (Grupo Mayoral),,MYO,MAYORAL,Spain,1
2045,Dominicana de Aviaci,DO,DOA,DOMINICANA,Dominican Republic,1
2046,Domodedovo Airlines,E3,DMO,DOMODEDOVO,Russia,1
2047,Don Avia,,DVB,DONSEBAI,Kazakhstan,1
2048,Donair Flying Club,,DON,DONAIR,United Kingdom,1
2049,DonbassAero,5D,UDC,DONBASS AERO,Ukraine,1
2050,Dorado Air,,DAD,DORADO AIR,Dominican Republic,1
2051,Dornier,,DOR,DORNIER,Germany,1
2052,Dornier Aviation Nigeria,,DAV,DANA AIR,Nigeria,1
2053,Dos Mundos,,DOM,DOS MUNDOS,Dominican Republic,1
2054,Dragonair,KA,HDA,Hong Kong Dragon Airlines,DRAGON,1
2055,Dreamcatcher Airways,,DCA,DREAM CATCHER,United Kingdom,1
2056,Druk Air,KB,DRK,ROYAL BHUTAN,Bhutan,1
2057,Drummond Island Air,,DRE,MICHIGAN,United States,1
2058,Dubai Airwing,,DUB,DUBAI,United Arab Emirates,1
2059,Dubrovnik Air,,DBK,SEAGULL,Croatia,1
2060,Ducair,,DUK,LION KING,Luxembourg,1
2061,Duchess of Britany (Jersey) Limited,,DBJ,DUCHESS,United Kingdom,1
2062,UK Royal/HRH Duke of York,,LPD,LEOPARD,United Kingdom,1
2063,Dun'Air,,DUN,DUNAIR,Mauritania,1
2064,Duncan Aviation,,PHD,PANHANDLE,United States,1
2065,Dunyaya Bakis Hava Tasimaciligi,,VVF,WORLDFOCUS,Turkey,1
2066,Duo Airways,,DUO,FLY DUO,United Kingdom,1
2067,Durango Jet,,DJE,DURANGO JET,Mexico,1
2068,Dutch Antilles Express,,DNL,DUTCH ANTILLES,Netherlands Antilles,1
2069,Dutch Caribbean Express,,DCE,DUTCH CARIBBEAN,Netherlands Antilles,1
2070,Dutchbird,,DBR,DUTCHBIRD,Netherlands,1
2071,Dwyer Aircraft Services,,DFS,DWYAIR,United States,1
2072,Dynair Services,,XDY,,United States,1
2073,Dynamair Aviation,,DNR,DYNAMAIR,Canada,1
2074,Dynamic Air,,DYE,DYNAMIC,Netherlands,1
2075,dba,DI,BAG,SPEEDWAY,Germany,1
2076,E H Darby Aviation,,EHD,PLATINUM AIR,United States,1
2078,Electronic Data Systems,,1Y,,,1
2079,EAA Escola De Aviacao Aerocondor,,EAD,AERO-ESCOLA,Portugal,1
2080,Executive Airlines Services,,EXW,ECHOLINE,Nigeria,1
2081,EFAOS- Agencia De Viagens e Turismo,,EFS,EFAOS,Angola,1
2082,EFD Eisele Flugdienst,,EFD,EVER FLIGHT,Germany,1
2083,EFS-Flugservice,,FSD,FLUGSERVICE,Germany,1
2084,EIS Aircraft,,EIS,COOL,Germany,1
2085,EPAG Groupe Air France,,IAG,EPAG,France,1
2086,ESI Eliservizi Italiani,,ESI,ELISERVIZI,Italy,1
2087,EU Airways,,EUY,EUROAIRWAYS,Ireland,1
2088,EUjet,VE,EUJ,UNION JET,Ireland,1
2089,EVA Air,BR,EVA,EVA,Taiwan,1
2090,Eagle Aero,,ICR,ICARUS FLIGHTS,United States,1
2091,Eagle Air,,EGR,EAGLE SIERRA,Sierra Leone,1
2093,Eagle Air Company,,EGX,THAI EAGLE,Thailand,1
2094,Eagle Air Iceland,,FEI,ARCTIC EAGLE,Iceland,1
2095,Eagle Aviation,,EGU,AFRICAN EAGLE,Uganda,1
2096,Eagle Aviation,,GYP,GYPSY,United Kingdom,1
2097,Eagle Aviation France,,EGN,FRENCH EAGLE,France,1
2098,Eagle International,,SEG,SEN-EAGLE,Senegal,1
2099,Eagle Jet Charter,,EGJ,EAGLE JET,United States,1
2100,Eaglemed (Ballard Aviation),,EMD,EAGLEMED,United States,1
2101,Earth Airlines Services,,ERX,EARTH AIR,Nigeria,1
2102,East African,QU,UGX,CRANE,Uganda,1
2103,East African Safari Air,S9,HSA,DUMA,Kenya,1
2104,East African Safari Air Express,,EXZ,TWIGA,Kenya,1
2105,East Asia Airlines,,EMU,,Macao,1
2106,East Coast Airways,,ECT,EASTWAY,South Africa,1
2107,East Coast Jets,,ECJ,EASTCOAST JET,United States,1
2108,East Hampton Aire,,EHA,AIRE HAMPTON,United States,1
2109,East Kansas City Aviation,,EKC,BLUE GOOSE,United States,1
2110,East Midlands Helicopters,,CTK,COSTOCK,United Kingdom,1
2111,East Star Airlines,,DXH,EAST STAR,China,1
2112,East-West Airlines,,EWA,EASTWEST,Australia,1
2113,Eastern Air,,EAZ,EASAIR,Zambia,1
2114,Eastern Air Executive,,EAX,EASTEX,United Kingdom,1
2115,Eastern Airways,T3,EZE,EASTFLIGHT,United Kingdom,1
2116,Eastern Australia Airlines,,EAQ,,Australia,1
2117,Eastern Carolina Aviation,,ECI,EASTERN CAROLINA,United States,1
2118,Eastern Executive Air Charter,,GNS,GENESIS,United Kingdom,1
2119,Eastern Express,,LIS,LARISA,Kazakhstan,1
2120,Eastern Metro Express,,EME,EMAIR,United States,1
2121,Eastern Pacific Aviation,,EPB,EAST PAC,Canada,1
2122,Eastern Sky Jets,,ESJ,EASTERN SKYJETS,United Arab Emirates,1
2123,Eastland Air,DK,ELA,,Australia,1
2124,Eastwind Airlines,W9,SGR,STINGER,United States,1
2125,Easy Link Aviation Services,,FYE,FLYME,Nigeria,1
2126,Eckles Aircraft,,CMN,CIMMARON AIRE,United States,1
2127,Eclipse Aviation,,EJT,ECLIPSE JET,United States,1
2128,Eco Air,,ECQ,SKYBRIDGE,Nigeria,1
2129,Ecoair,,DEI,,Algeria,1
2130,Ecomex Air Cargo,,ECX,AIR ECOMEX,Angola,1
2131,Ecotour,,ECD,ECOTOUR,Mexico,1
2132,Ecoturistica de Xcalak,,XCC,XCALAK,Mexico,1
2133,Ecuatoguineana De Aviacion (EGA),,ECV,EQUATOGUINEA,Equatorial Guinea,1
2134,Ecuatorial Cargo,,EQC,ECUA-CARGO,Equatorial Guinea,1
2135,Ecuavia,,ECU,ECUAVIA,Ecuador,1
2136,Edelweiss Air,WK,EDW,EDELWEISS,Switzerland,1
2137,Edgartown Air,,SLO,SLOW,United States,1
2138,Edinburgh Air Charter,,EDC,SALTIRE,United Kingdom,1
2139,Edwards Jet Center of Montana,,EDJ,EDWARDS,United States,1
2140,Efata Papua Airlines,,EIJ,EFATA,Indonesia,1
2141,Egyptair,MS,MSR,EGYPTAIR,Egypt,1
2142,Egyptair Cargo,,MSX,EGYPTAIR CARGO,Egypt,1
2143,Egyptian Air Force,,EGY,,Egypt,1
2144,Egyptian Aviation,,EJX,,Egypt,1
2145,Egyptian Aviation Company,,EMA,,Egypt,1
2146,Ei Air Exports,,EIX,AIR EXPORTS,Ireland,1
2147,Eirjet,,EIR,EIRJET,Ireland,1
2148,El Al Israel Airlines,LY,ELY,ELAL,Israel,1
2149,El Caminante Taxi Aereo,,CMX,EL CAMINANTE,Mexico,1
2150,El Quilada International Aviation,,GLQ,QUILADA,Sudan,1
2151,El Sal Air,,ELS,EL SAL,El Salvador,1
2152,El Sol De America,,ESC,SOLAMERICA,Venezuela,1
2153,El-Buraq Air Transport,UZ,BRQ,BURAQAIR,Libya,1
2154,Elan Express,,ELX,ELAN,United States,1
2155,Elbe Air Transport,,LBR,MOTION,Germany,1
2156,Elbrus-Avia Air Enterprise,,NLK,ELAVIA,Russia,1
2157,Eldinder Aviation,,DND,DINDER,Sudan,1
2158,Elicar,,PDV,ELICAR,Italy,1
2159,Elidolomiti,,EDO,ELIDOLOMITI,Italy,1
2160,Elieuro,,ELB,ELILOBARDIA,Italy,1
